WBGene_ID,Gene_name,Peptide_count,Neurons,Gonad,Hypodermis,Pharynx,Body_wall_muscle,Glia,Intestine,Germline,Somatic_gonad_precursors,Seam_cells,Non-seam_hypodermis,Pharyngeal_epithelia,Pharyngeal_muscle,Pharyngeal_neurons,Pharyngeal_gland,Body_wall_muscle,Sex_myoblasts,Intestinal/rectal_muscle,Socket_cells,Am/PH_sheath_cells,Cholinergic_neurons,Touch_receptor_neurons,GABAergic_neurons,Oxygen_sensory_neurons,flp-1(+)_interneurons,Canal_associated_neurons,Ciliated_sensory_neurons,Other_interneurons,Rectum,Distal_tip_cells,Vulval_precursors,Coelomocytes,Excretory_cells,AFD,ASEL,ASER,ASG,ASI/ASJ,ASK,AWA,AWB/AWC,Cholinergic_(3),Cholinergic_(11),Cholinergic_(15),Cholinergic_(23),Cholinergic_(24),Cholinergic_(26),Cholinergic_(29),Cholinergic_(35),Cholinergic_(36),GABAergic,Dopaminergic,flp-1(+),BAG,URX/AQR/PQR,Touch_receptor,PVC/PVD,SDQ/ALN/PLN,CAN,RIA,RIC,DVA,Cluster_5,Cluster_10,Cluster_13,Cluster_16,Cluster_17,Cluster_21,Cluster_25,Cluster_27,Cluster_40,Pharyngeal_(33),Pharyngeal_(37)
WBGene00011232,pck-2,298,202.78,17.121,847.4,169.509,1200.26,148.81,2672.725,6.552634079,71.4985224,514.1233863,1452.807357,229.9291486,146.2907276,217.3534596,20.50485901,1200.260403,411.1472287,364.3743362,43.2809347,299.8393921,225.3642829,116.6503639,336.0172989,408.0276777,79.87153398,560.6539339,52.64035428,230.3664593,1094.000098,281.6653203,79.24876876,294.4694688,180.1612125,0,0,0,138.78,0,9.05,0,36.52,125.44,280.81,185.11,0,200.68,42.79,95.22,320.45,154.68,358.42,126.59,122.54,32.8,68.56,116.65,19.07,730.64,560.65,765.96,276.28,24.03,44.36,33.15,0,106.65,78.09,0,151.88,51.15,0,775.54,57.22
WBGene00021048,W05H9.1,50,5.042,0.744,4.279,0.155,1.805,7.209,2468.23,0.117515666,8.804498472,6.047790065,0.926962751,0,0.908364218,0,0,1.804547474,3.030857722,2.039417869,0,0,0,24.68938724,0,0,0,0,0,4.606808864,0,2.653118077,3.161778768,9.236641017,0,0,0,0,0,0,0,0,0,0,7.51,0,0,0,0,0,0,0,0,0,0,0,0,24.69,9.36,0,0,0,0,0,153.54,0,0,0,0,0,0,0,0,0,0
WBGene00016405,hecd-1,11,914.686,1325.785,617.774,688.972,581.346,848.712,2295.591,1303.935773,1685.751257,718.9246118,328.7260405,609.6623985,791.4575833,820.0072533,865.1817606,581.3456348,965.2308799,494.4934505,986.6780327,681.352344,790.2619789,924.8527039,397.7039314,828.1316606,962.4048732,925.6248665,1049.652584,801.0846278,487.0817172,1166.890613,740.2034123,677.5067572,600.7598326,1390.18,772.26,1843.19,846.36,1968.4,710.66,739.68,1096.1,930.57,1048.72,194.88,658.46,905.35,988.62,617.01,470.86,683.37,359.7,1410.65,939.01,366.97,667.57,924.85,571.62,1099.52,925.62,989.35,957.41,1125.06,504.51,690.33,683.16,1255.38,893.1,519.88,1037.38,1171.23,0,1164.59,721.15
WBGene00022069,eel-1,18,931.813,1784.459,701.585,687.355,557.122,739.725,2270.791,1802.105388,1754.560336,812.0692064,368.9652896,576.4586414,832.4106507,989.1181834,632.3927866,557.1222546,1497.059855,528.0534553,1012.890468,457.6868571,878.377123,1094.287587,1021.650634,692.0989709,853.0564914,1098.599198,1113.148355,829.1688361,608.989872,1169.09002,1047.798993,847.559249,637.2162414,1020.65,753.46,539.11,1064.16,1255.08,713.6,1004.59,2108.79,1265.93,965.54,1385.76,604.1,862.24,739.72,580.19,827.56,974.93,914.04,598.18,935.57,208.03,541.1,1094.29,891.3,968.42,1098.6,826.89,839,626.53,540.73,824.14,1068.39,1082.85,395.44,755.13,740.97,2198.93,0,1478.6,848.69
WBGene00003995,pgp-1,324,0.234,0.424,1.127,2.552,1.138,5.093,2257.894,0.319306861,2.038010919,1.681921959,0,0,0,0,0,1.138101196,0,0,8.839544587,0,0,3.092987579,1.745810056,0,0,0,0,0,0,0,0,2.211342418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001137,eat-6,286,2093.374,1084.689,429.794,1000.19,915.398,1672.674,2160.01,1034.324428,1770.101721,481.8252813,247.7677884,746.8603702,1457.644357,1728.031854,704.1077712,915.3980422,987.4632921,944.5023566,724.0928544,1408.139948,2732.15991,3238.954017,2754.720308,1485.21041,2672.794758,100.7968071,937.3433988,2381.8881,107.0086967,1130.015231,1198.793096,555.1719889,523.4640902,1461.68,420.82,1013.18,506.84,881.39,900.66,366.2,738.32,2697.13,2163.89,1837.31,1610.84,2507.26,2377.72,3870.94,740.7,3064.88,2612.51,2383.73,2267.61,937.34,1774.98,3238.95,1722.4,1573.37,100.8,2836.76,3034.73,3303.24,1904.43,1162.38,1094.45,1222.03,1085.27,863.64,2247.12,2060.22,2089.89,1578.26,1771
WBGene00003153,mca-3,60,3520.18,804.864,929.139,931.426,1818.532,1139.743,2151.235,708.7889923,2023.804649,1094.803075,497.9694578,962.2962991,1370.66276,2949.123317,364.810463,1818.53215,1123.668962,3288.832455,640.1446142,1810.758575,4065.22354,3335.947131,3980.477505,2649.782146,2772.00441,1427.066173,1771.154893,6328.08421,319.4727318,1143.772709,526.3532335,846.9683668,915.8718173,2380.93,1966.05,2031.07,1038.32,2159.86,1060.62,1069.12,1545.4,4583.39,3901.69,1949.81,1937.47,4639.11,3966.41,2734.44,2034.9,5297.96,4009.64,3659.43,2692.06,2479.15,2190.54,3335.95,9181.07,2945.12,1427.07,4116.44,3085.88,3030.64,5646.69,1896.08,2831.77,2306.12,2979.42,1738.61,3416.08,4479.04,2029.14,2689.04,3023.74
WBGene00000789,cpz-2,45,1.798,0.317,3.014,0,1.998,5.792,2129.281,0.347548983,0,0.818625347,9.237061158,0,0,0,0,1.998230283,0,0,0,0,0,29.35305859,0,0,0,0,0,0,3.321442569,0,0,10.0425985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.91,0,0,0,29.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00019510,K07H8.10,9,169.192,2257.103,654.832,362.572,631.456,341.543,2093.727,2290.489655,2510.628623,874.3821063,194.8663509,284.9759061,580.1453055,191.3289406,574.3602903,631.4556174,1471.261059,306.6937029,261.8483747,411.1079594,92.04369475,44.18408772,183.8127998,214.9453094,227.9857358,184.9558778,179.2670021,83.38735943,95.76433751,208.729245,1656.196261,841.3238176,97.59418793,886.54,0,0,150.15,140.02,127.42,170.32,236.2,258.47,174.95,529.8,158.73,141.45,381.27,170.18,19.59,75.12,196.07,80.63,177.91,13.82,131.56,44.18,106.12,339.81,184.96,85.94,0,66.54,29.14,165.34,66.33,50.12,263.8,144.58,112.75,90.29,422.33,36.54,235.74
WBGene00004415,rpl-4,400,3959.549,6595.435,7926.314,5884.425,7331.105,6160.23,1949.148,6263.230243,9972.451576,8489.193685,6633.546459,4742.116627,6429.830079,4462.598066,8409.120862,7331.104965,12203.24244,7838.281336,4687.292583,7602.371377,3557.008546,3399.163176,2224.932518,3656.564033,5840.759756,8690.665514,4516.732616,3185.681612,5582.032267,10156.09074,12331.7217,9441.52888,7360.462749,4616.69,4095.56,3489.63,4853.79,4162.64,3345.13,8406.67,3985.13,3778.51,3399.59,3234.59,2347.88,5022.42,3876.83,4128.28,2392.37,4585,2083.64,3808.41,5519.07,3996.59,6406.27,3399.16,1843.64,2173.69,8690.67,4288.74,6052,3670.75,2823.73,5498.31,3246.65,5028.21,2739.76,4363.25,4581.07,5189.75,2676.13,2872.1,4918.89
